FacilityName,FacilityId,City,State,ZipCode,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Sectors_Industry_Type,Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,HFC emissions,PFC emissions,SF6 emissions,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring?,Column,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Total reported emissions from Onshore Oil & Gas Production,State where Emissions Occur,Total reported direct emissions from Local Distribution Companies,Total reported direct emissions from Electrical Equipment Use,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Petroleum Products Produced,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with CO2 Supply,Quantity of CO2 Received for Injection,D,Direct Emitter
Ohio County Mine,1008766,Dallas,WV,26036,,Marshall,39.9717,-80.5492,212112,FF,Other,878956.5,,878956.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878956.5,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee Landfill,1003619,Okeechobee,FL,34973,10800 N. E. 128th Avenue,Okeechobee,27.342694,-80.689387,562212,"C,HH",Waste,46128.45,394.7,45733.75,,,,,,,,,,,394.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45733.75,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma Cogeneration,1006791,Oklahoma City,OK,73179,7425 SW 29TH ST,Oklahoma,35.44193,-97.65032,221112,C,Power Plants,26780.9,26753.5,12.5,14.9,,,,,,,,,,26780.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma Environmental Management Authority Landfill,1006219,Union City,OK,73090,1/4 MI E OF HWY81 ON SW29TH,Canadian,35.53453,-97.95554,562212,HH,Waste,68353.5,,68353.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68353.5,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Oklaunion Power Station,1001426,Oklaunion,TX,76373,12567 FM RD 3430,Wilbarger,34.0825,-99.1753,221112,D,Power Plants,2286660.946,2268734.4,6557.25,11369.296,,,,,,,,,,,2286660.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
Olam West Coast Inc,1010345,Lemoore,CA,93245,1175 S. 19th Ave,Kings,36.2784,-119.80047,311421,C,Other,40982.896,40940.7,19.25,22.946,,,,,,,,,,40982.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Olam West Coast Inc,1005517,Gilroy,CA,95020,1350 PACHECO PASS HWY,Santa Clara,37.00299,-121.53963,311423,C,Other,20871.372,20850,9.75,11.622,,,,,,,,,,20871.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Olam West Coast Inc,1000891,Firebaugh,CA,93622,47461 W. Nees Ave,Fresno,36.850693,-120.644469,311423,C,Other,28533.192,28503.6,13.5,16.092,,,,,,,,,,28533.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Olam West Coast Inc,1010346,Williams,CA,95987,6229 Myers Road,Colusa,39.10251,-122.10998,311421,C,Other,46755.624,46707.4,22,26.224,,,,,,,,,,46755.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Old Ocean Gas Plant,1000390,Sweeny,TX,77208,200 Refinery Road,Brazoria,29.047183,-95.747683,237120,"C,W-PROC",Petroleum and Natural Gas Systems,84247.57,80666,3405.75,175.82,,,,,,,,,,55519.626,,,,,,,,,,,,,,,,,,,28727.944,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Oleander Power Project,1006808,Cocoa,FL,32926,555 TOWNSEND RD,Brevard,28.3661,-80.7947,221112,"C,D",Power Plants,151016.54,150863.1,70,83.44,,,,,,,,,,5.2,151011.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"Olin Blue Cube, Freeport, TX",1011834,Freeport,TX,77541,"2301 N. Brazosport Blvd., OC-1120",Brazoria,28.969389,-95.379528,325199,"C,X",Chemicals,1909031.412,1907103,879.75,1048.662,,,,,,,,,,1869492.612,,,,,,,,,,,,,,,,,,,,,,,,39538.8,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Olin Chlor Alkali Products,1011837,St. Gabriel,LA,70776,4205 Highway 75,Iberville,30.241508,-91.105631,325181,C,Chemicals,26452.4,26425,12.5,14.9,,,,,,,,,,26452.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Olin Chlor Alkali Products,1009832,Niagara Falls,NY,14303,2400 Buffalo Avenue,Niagara,43.081994,-79.029936,325181,C,Chemicals,31701.98,31669.1,15,17.88,,,,,,,,,,31701.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Olin Corporation,1011241,Charleston,TN,37310,1186 Lower River Road,Bradley,35.30749,-84.78167,325181,C,Chemicals,36460.452,36420.9,17.5,22.052,,,,,,,,,,36460.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Omya Inc. (Verpol),1011251,Florence,VT,5701,206 Omya West,Rutland,43.70974,-73.06346,212312,C,Other,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Oneta Energy Center,1007570,Broken Arrow,OK,74011,25142 EAST 105TH ST SOUTH,Wagoner,36.0119,-95.6967,221112,"C,D",Power Plants,2233108.324,2230840.7,1034.5,1233.124,,,,,,,,,,702.748,2232405.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Onshore Treating Facility,1006148,Theodore,AL,36582,6000 DEAKLE ROAD,Mobile,30.4319,-88.1825,211111,"C,W-PROC",Petroleum and Natural Gas Systems,206780.128,206309,408.25,62.878,,,,,,,,,,108954.64,,,,,,,,,,,,,,,,,,,97825.488,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Ontelaunee Energy Center,1001356,Reading,PA,19605,5115 POTTSVILLE PIKE,Berks,40.4219,-75.9353,221112,"C,D",Power Plants,1560079.72,1558496,722.5,861.22,,,,,,,,,,1693.644,1558386.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Opal Compressor Station,1011208,Geary,OK,73040,,Blaine,35.58,-98.36,211111,C,Petroleum and Natural Gas Systems,42933.888,42889.5,20.25,24.138,,,,,,,,,,42933.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Opal Gas Plant,1002078,Opal,WY,83124,,Lincoln,41.7767,-110.3425,211112,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",393973.504,380564.3,13193.75,215.454,,,,,,,,,,360175.244,,,,,,,,,,,,,,,,,,,33798.26,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"Optim Energy Altura Cogen, LLC",1000255,Channelview,TX,77530,2330 SHELDON ROAD,Harris,29.8169,-95.1086,221112,D,Power Plants,1977833.472,1975825.6,916,1091.872,,,,,,,,,,,1977833.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Orange Carbon Black Plant,1003781,Orange,TX,77632,1513 Echo Road,Orange,30.153872,-93.727108,325182,"C,X",Chemicals,200487.024,200479.9,3.25,3.874,,,,,,,,,,6728.824,,,,,,,,,,,,,,,,,,,,,,,,193758.2,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Orange Cogeneration Facility,1001272,Bartow,FL,33830,1901 CLEAR SPRINGS ROAD,Polk,27.8708,-81.8253,221112,"C,D",Power Plants,185718.712,185530.2,86,102.512,,,,,,,,,,12349.404,173369.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Orange County Landfill,1011227,New Hampton,NY,10924,21 Training Center Lane,Orange,41.401082,-74.392336,562212,"C,HH",Waste,59444.348,108.8,59335.25,0.298,,,,,,,,,,109.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59335.25,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Orange County Regional Landfill,1005524,Chapel Hill,NC,27516,1514 Eubanks Road,Orange,35.9711,-79.0819,562212,HH,Waste,26655.5,,26655.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26655.5,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Orange Grove Project,1000548,Pala,CA,92059,35435 Pala Del Norte Rd.,San Diego,33.359,-117.111,221112,D,Power Plants,27150.4,27123,12.5,14.9,,,,,,,,,,,27150.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Order of Saint Benedict/Saint John\s University,1005927,Collegeville,MN,56321,31802 County Road 159,Stearns,45.584424,-94.393925,611310,C,Other,12962.95,12949.5,6,7.45,,,,,,,,,26.2,12962.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"Orion Engineered Carbons, LLC.",1007626,Franklin,LA,70538,7005 SH83 S,Saint Mary,29.734346,-91.482148,325182,"C,X",Chemicals,279297.54,279280.1,8.5,8.94,,,,,,,,,,18227.54,,,,,,,,,,,,,,,,,,,,,,,,261070,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Orlando CoGen,1001276,Orlando,FL,32809,8275 EXCHANGE DRIVE,Orange,28.4422,-81.4119,221112,D,Power Plants,420267.992,419841.1,194.75,232.142,,,,,,,,,,,420267.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
Ormond Beach Generating Station,1001449,Oxnard,CA,93033,6635 S EDISON DR,Ventura,34.1292,-119.1689,221112,"C,D",Power Plants,248427.304,248277.7,68.25,81.354,,,,,,,,,,3113.84,245313.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Osage Landfill,1004710,Bartlesville,OK,74003,83 County Road 2712,Washington,36.7189,-96.0073,562212,"C,HH",Waste,45866.55,14.3,45852.25,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45852.25,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Osceola,1000115,Saint Cloud,FL,34773,5200 HOLOPAW ROAD,Osceola,28.1289,-81.0978,221112,"C,D",Power Plants,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
Osprey Energy Center,1000107,Auburndale,FL,33823,1651 W DERBY AVE,Polk,28.0525,-81.8083,221112,D,Power Plants,829576.076,828733.8,384.25,458.026,,,,,,,,,,,829576.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
Oswald Generating Station,1001368,Little Rock,AR,72206,17400 HWY 365,Pulaski,34.5923,-92.2166,221112,"C,D",Power Plants,156093.424,155935.6,72,85.824,,,,,,,,,,2303.492,153789.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
Oswego Harbor Power,1006915,Oswego,NY,13126,261 WASHINGTON BLVD,Oswego,43.46,-76.53,221112,"C,D",Power Plants,78689.779,78454.5,71.975,163.304,,,,,,,,,,13586.548,65103.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
"Otay Mesa Energy Center, LLC",1000796,San Diego,CA,92154,606 De La Fuente Court,San Diego,32.5733,-116.9153,221112,D,Power Plants,1403858.212,1402436.7,648.5,773.012,,,,,,,,,,,1403858.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
Otero/Greentree Landfill,1011215,Alamogordo,NM,88310,1376 East 9th Street,Otero,32.570167,-106.024222,562212,"C,HH",Waste,31987.564,0.2,31982,5.364,,,,,,,,,,5.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31981.75,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"Otsego Paper, Inc.",1000248,Otsego,MI,49078,320 NORTH FARMER ST,Allegan,42.4641,-85.6941,322121,C,Pulp and Paper,86065.776,85977,40.5,48.276,,,,,,,,,,86065.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Otter Creek Ethanol dba Poet Biorefining Ashton,1009523,Ashton,IA,51232,4970 260th St,Osceola,43.279722,-95.8125,325193,C,Other,100475.172,100371.6,47.25,56.322,,,,,,,,,,100475.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Ottumwa,1001050,Ottumwa,IA,52548,20775 POWER PLANT ROAD,Wapello,41.0961,-92.5556,221112,"C,D",Power Plants,4270567.236,4248175.9,1119.5,21271.836,,,,,,,,,,231.846,4270335.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
Ouachita Plant,1000826,Sterlington,LA,71280,350 HARVEY GREGG RD,Ouachita,32.7056,-92.0697,221112,"C,D",Power Plants,1733363.576,1731603.4,803,957.176,,,,,,,,,,75.3,1733288.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Ouray Compressor Station,1001731,Vernal,UT,84078,,Uintah,40.07092778,-109.4918167,211111,C,Petroleum and Natural Gas Systems,16503.288,16486.3,7.75,9.238,,,,,,,,,,16503.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Outlaw Compressor Station,1001947,Durango,CO,81303,,La Plata,37.1745,-107.7786,211111,C,Petroleum and Natural Gas Systems,8230.168,8221.4,4,4.768,,,,,,,,,,8230.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"Outokumpu Stainless USA, LLC",1010763,Calvert,AL,36513,1 ThyssenKrupp Drive,Washington,31.15624,-88.01275,331111,"C,Q",Metals,143344.124,143282.2,28.25,33.674,,,,,,,,,,59935.224,,,,,,,,,,,,83408.9,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Owens Corning,1010899,Aiken,SC,29801,2648 Wagener Road,Aiken,33.54813,-81.6655,327212,C,Minerals,25430.604,25404.3,12,14.304,,,,,,,,,,25430.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Owens Corning Vetrotex - Amarillo Plant,1003520,Amarillo,TX,79110,1701 Hollywood Road ,Randall,35.1154,-101.8569,327212,"C,N",Minerals,65878.58,65818.3,27.5,32.78,,,,,,,,,,58518.48,,,,,,,,,7360.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"Owens Corning Vitrotex, LLC",1007952,Starr,SC,29684,4837 Highway 81 South,Anderson,34.43569,-82.65835,327212,"C,N",Minerals,64288.8,64234,25,29.8,,,,,,,,,,53404,,,,,,,,,10884.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Ox Mountain Sanitary Landfill,1007112,Half Moon Bay,CA,94019,12310 SAN MATEO ROAD,San Mateo,37.4992,-122.411,562212,HH,Waste,129646.75,,129646.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129646.75,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Oxbow Calcining LLC,1003823,Baton Rouge,LA,70807,2200 Brooklawn Drive,East Baton Rouge,30.58348,-91.240545,324199,C,Petroleum and Natural Gas Systems,270538.7,270525,6.25,7.45,,,,,,,,,,270538.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"Oxbow Mining, LLC",1009623,Somerset,CO,81434,3737 Highway 133,Gunnison,38.926289,-107.470007,212112,"C,FF",Other,34758.392,34729.5,20.25,8.642,,,,,,,,,,14989.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19769.25,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Oxford Station,1008158,Oxford,CT,6478,40 Woodruff Hill Road,New Haven,41.484373,-73.120623,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,47995.624,47030.4,939,26.224,,,,,,,,,,47077.524,,,,,,,,,,,,,,,,,,,,918.1,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Oxnard Landfills,1005092,Oxnard,CA,93036,4105 W. Gonzales Rd.,Ventura,34.21946,-119.224877,562212,HH,Waste,43647.5,,43647.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43647.5,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"Oxy Vinyls, LP- Pasadena Facility",1001710,Pasadena,TX,77503,4403 PASADENA FREEWAY,Harris,29.734672,-95.148821,325211,C,Other,124335.132,124206.9,58.5,69.732,,,,,,,,,,124335.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Ozark Ridge Landfill,1007681,Danville,AR,72833,10140 Ozark Ridge Access Lane,Yell,35.087194,-93.206167,562212,HH,Waste,51871.75,,51871.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51871.75,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
P H Glatfelter Company - Chillicothe Fac,1000183,Chillicothe,OH,45601,232 East 8th Street,Ross,39.3265,-82.9744,322121,"AA,C",Pulp and Paper,677576.092,668718.5,2509,6348.592,,,,,,,,,769670.3,641112.87,,,,,,,,,,,,,,,,,,,,,,,,,,,36463.222,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
P L Bartow Power Plant,1001489,Saint Petersburg,FL,33702,1601 WEEDON ISLAND DRIVE,Pinellas,27.8613,-82.6012,221112,"C,D",Power Plants,2885922.818,2882985.5,1338.25,1599.068,,,,,,,,,,17381.198,2868541.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
P-3 CMP STN,1005726,Pampa,TX,79065,586 County Line Road,Roberts,35.620679,-100.974411,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,29825.568,8344.3,21476.5,4.768,,,,,,,,,,8328.268,,,,,,,,,,,,,,,,,,,,21497.3,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
P.H. Glatfelter Company,1004199,Spring Grove,PA,17362,228 South Main Street,York,39.8717,-76.8664,322121,"AA,C",Pulp and Paper,666002.974,658936,2272.75,4794.224,,,,,,,,,483349,632920.816,,,,,,,,,,,,,,,,,,,,,,,,,,,33082.158,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
P4 PRODUCTION L L C,1007943,Soda Springs,ID,83276,1853 HIGHWAY 34,Caribou,42.68703,-111.5878,325188,C,Chemicals,118720.64,118371.1,132,217.54,,,,,,,,,52.4,118720.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"P4 Production, LLC",1004749,Rock Springs,WY,82902,2.5 Mile S. County Road 50,Sweetwater,41.582324,-109.254508,324199,C,Petroleum and Natural Gas Systems,157653.45,157159.8,180.75,312.9,,,,,,,,,,157653.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
PABCO BUILDING PRODUCTS AND SANDIA,1006108,North Las Vegas,NV,89115,4001 State Route 147,Clark,36.221695,-114.889838,327420,C,Minerals,110147.484,110033.5,52,61.984,,,,,,,,,,110147.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
PACIFIC COAST PRODUCERS,1006104,Woodland,CA,95776,1376 LEMEN AVENUE,Yolo,38.68034,-121.75794,311421,C,Other,31972.68,31939.8,15,17.88,,,,,,,,,,31972.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
PACIFIC ETHANOL COLUMBIA LLC,1007263,Boardman,OR,97818,71335 RAIL LOOP DRIVE,Morrow,45.856111,-119.655278,325193,C,Other,37739.108,37700.2,17.75,21.158,,,,,,,,,,37739.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
PACIFIC ETHANOL MAGIC VALLEY LLC,1007264,Burley,ID,83318,2600 WASHINGTON AVENUE,Cassia,42.521324,-113.815693,325193,C,Other,67408.496,67338.9,31.75,37.846,,,,,,,,,,67408.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"PACIFIC ETHANOL PEKIN, INC.",1000413,Pekin,IL,61554,1300 SOUTH 2ND STREET,Tazewell,40.555,-89.6628,325193,"C,II,PP","Other,Suppliers of CO2,Waste",332748.784,331344.1,590.25,814.434,,,,,,,,,5628.3,332645.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.75,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
PACIFIC ETHANOL STOCKTON LLC,1007262,Stockton,CA,95206,3028 NAVY DRIVE,San Joaquin,37.942848,-121.335341,325193,C,Other,58455.08,58394.8,27.5,32.78,,,,,,,,,,58455.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
PACKAGING CORP. OF AMERICA,1003280,Valdosta,GA,31601,5495 LAKE PARK-CLYATTVILLE ROAD,Lowndes,30.6949,-83.30442,322130,"AA,C,TT","Pulp and Paper,Waste",60493.076,49685.1,6803.75,4004.226,,,,,,,,,478980.8,18401.75,,,,,,,,,,,,,,,,,,,,,,,,,,,36048.076,,,,,,,,,6043.25,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
PACKAGING CORPORATION OF AMERICA,1006367,Filer City,MI,49634,2246 UDELL STREET,Manistee,44.21336,-86.284609,322121,"AA,C,II","Pulp and Paper,Waste",209111.72,208265.3,648.25,198.17,,,,,,,,,62023,202836.664,,,,,,,,,,,,,,,,,,,,,,,,,,,5755.556,,,,,,,519.5,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
PACKAGING CORPORATION OF AMERICA-TOMAHAWK,1003884,Tomahawk,WI,54487,N9090 COUNTY ROAD E,Lincoln,45.450849,-89.740303,322130,"AA,C,II,TT","Pulp and Paper,Waste",211369.372,191856.1,17177.25,2336.022,,,,,,,,,157180.3,189600.426,,,,,,,,,,,,,,,,,,,,,,,,,,,5217.446,,,,,,,1465.25,,15086.25,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
PADUCAH GASEOUS DIFFUSION PLANT - USEC,1002900,Kevil,KY,42053,5600 HOBBS ROAD,Mccracken,37.12013,-88.81111,562910,C,Other,11058.96,11013.9,16.75,28.31,,,,,,,,,,11058.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
PAINESVILLE MUNICIPAL ELECTRIC PLANT,1002545,Painesville,OH,44077,325 RICHMOND STREET,Lake,41.726396,-81.254031,221112,C,Power Plants,14131.376,14057,3.75,70.626,,,,,,,,,,14131.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
PAINTED DESERT LANDFILL,1003611,Joseph City,AZ,86032,9001 N PORTER AVE,Navajo,34.997433,-110.33908,562212,HH,Waste,2762.75,,2762.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2762.75,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
PALMETTO LANDFILL AND RECYCLING CENTER,1007892,Wellford,SC,29385,251 NEW HOPE ROAD,Spartanburg,34.92817,-82.07049,562212,HH,Waste,79284,,79284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79284,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
PALO ALTO LANDFILL AND RECYCLING CENTER,1005865,Palo Alto,CA,94303,2380 EMBARCADERO ROAD,Santa Clara,37.44787,-122.10351,562212,"C,HH",Waste,4429.476,1162,3174.5,92.976,,,,,,,,,8196,1314.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3115.25,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
